iter	MultiClass
308	0.5026867638
309	0.5021223281
310	0.5013688893
311	0.500656403
312	0.50017452
313	0.4993913021
314	0.4987834345
315	0.4979657349
316	0.4972139742
317	0.4966714551
318	0.496155522
319	0.4957602028
320	0.4951038862
321	0.4944884528
322	0.4939913648
323	0.4934931523
324	0.4930663579
325	0.4923656679
326	0.4917660251
327	0.4911335004
328	0.4905385747
329	0.4899086555
330	0.4894336526
331	0.4887987349
332	0.4883271313
333	0.4879690511
334	0.4875560229
335	0.4871466083
336	0.4866108686
337	0.48599526
338	0.4854503774
339	0.4848929818
340	0.4843863643
341	0.4839651981
342	0.4833328691
343	0.4828190154
344	0.482264996
345	0.481749359
346	0.4811842436
347	0.4806605547
348	0.4803766443
349	0.4800263228
350	0.4794189306
351	0.4787391666
352	0.4783222717
353	0.4777849255
354	0.4774927596
355	0.4768339832
356	0.4762542408
357	0.4755773015
358	0.4751047824
359	0.4746139189
360	0.4741303278
361	0.4736241747
362	0.4731539835
363	0.4724963735
364	0.4719518879
365	0.4713769575
366	0.4708807052
367	0.4702843956
368	0.469809826
369	0.4694399572
370	0.4690009213
371	0.4684715364
372	0.4679749687
373	0.4673678541
374	0.4669113821
375	0.4664649317
376	0.4661646415
377	0.4658917178
378	0.4653375458
379	0.4648086233
380	0.4643879634
381	0.4639928104
382	0.4634552319
383	0.463009987
384	0.4625907866
385	0.4619260877
386	0.4614457057
387	0.4610223591
388	0.4605359966
389	0.4600618593
390	0.4597151106
391	0.4593505307
392	0.4588486207
393	0.4584891087
394	0.4579899866
395	0.4574723296
396	0.4570689458
397	0.456745862
398	0.4562999685
399	0.4558022257
400	0.4554246187
401	0.4548420957
402	0.4543967955
403	0.453935268
404	0.4536038509
405	0.4532469104
406	0.4527819921
407	0.4522783023
408	0.4520032904
409	0.4514280909
410	0.4508926639
411	0.4504900352
412	0.4501414618
413	0.4498191123
414	0.4492379654
415	0.4487570844
416	0.4483347896
417	0.4478721836
418	0.4475228986
419	0.4471947199
420	0.4467875643
421	0.4462327579
422	0.4456504215
423	0.4453892703
424	0.4448978207
425	0.4444839176
426	0.4440134654
427	0.443660941
428	0.4431008133
429	0.4425971482
430	0.4422781377
431	0.4419376977
432	0.4415089386
433	0.4410161139
434	0.4404298722
435	0.440157269
436	0.439858773
437	0.4396008721
438	0.4393184005
439	0.4387950543
440	0.4383954689
441	0.4378849197
442	0.4374123059
443	0.4370939621
444	0.4367350562
445	0.4363425521
446	0.4359980249
447	0.4357112616
448	0.4352925722
449	0.4347957988
450	0.4344368743
451	0.433998796
452	0.4336257137
453	0.4332832471
454	0.4328741336
455	0.4325558828
456	0.4321476059
457	0.4316819004
458	0.4312489745
459	0.4308222897
460	0.430423841
461	0.4300291357
462	0.4298029528
463	0.4294129598
464	0.4290265864
465	0.4287381527
466	0.428388735
467	0.4280451196
468	0.4276544415
469	0.4270948018
470	0.4267152405
471	0.4262752053
472	0.4259935265
473	0.4256780565
474	0.4251963589
475	0.4247710254
476	0.4244892711
477	0.4240425769
478	0.4238266703
479	0.4234367422
480	0.4231951912
481	0.4228691554
482	0.4224479138
483	0.4221416497
484	0.4216714539
485	0.4212398825
486	0.4209981816
487	0.4206732277
488	0.4201454206
489	0.4196638786
490	0.4192876914
491	0.4188309698
492	0.4184859152
493	0.4180155725
494	0.4175172145
495	0.4171175478
496	0.4168557888
497	0.4165404435
498	0.4161951262
499	0.4158856471
