Model,Accuracy,AUC,F1 Score
CatBoost,0.75,0.9171048249995618,0.7548238064367098
Random Forest,0.7327586206896551,0.9051810762337077,0.7276943923285387
Neural Network,0.7155172413793104,0.8997055576002945,0.7085477887903552
Voting Ensemble,0.7758620689655172,0.9194270641639063,0.7752739155137555
