Class,Precision,Recall,F1,AUC
SCD,0.8048780487804879,0.8461538461538461,0.825,0.9660339660339661
MCI,0.59375,0.48717948717948717,0.5352112676056338,0.7985347985347986
AD,0.7209302325581395,0.8157894736842105,0.7654320987654321,0.9345479082321186
