Class,Precision,Recall,F1,AUC
SCD,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.9517149517149517
MCI,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.8208458208458209
AD,0.75,0.868421052631579,0.8048780487804879,0.9429824561403508
