threshold,review_rate,policy_accuracy,ai_only_accuracy,accuracy_gain
0.0,1.0,1.0,0.7758620689655172,0.22413793103448276
0.005,1.0,1.0,0.7758620689655172,0.22413793103448276
0.01,1.0,1.0,0.7758620689655172,0.22413793103448276
0.015,1.0,1.0,0.7758620689655172,0.22413793103448276
0.02,1.0,1.0,0.7758620689655172,0.22413793103448276
0.025,1.0,1.0,0.7758620689655172,0.22413793103448276
0.03,1.0,1.0,0.7758620689655172,0.22413793103448276
0.035,1.0,1.0,0.7758620689655172,0.22413793103448276
0.04,1.0,1.0,0.7758620689655172,0.22413793103448276
0.045,1.0,1.0,0.7758620689655172,0.22413793103448276
0.05,1.0,1.0,0.7758620689655172,0.22413793103448276
0.055,1.0,1.0,0.7758620689655172,0.22413793103448276
0.06,1.0,1.0,0.7758620689655172,0.22413793103448276
0.065,1.0,1.0,0.7758620689655172,0.22413793103448276
0.07,1.0,1.0,0.7758620689655172,0.22413793103448276
0.075,1.0,1.0,0.7758620689655172,0.22413793103448276
0.08,1.0,1.0,0.7758620689655172,0.22413793103448276
0.085,1.0,1.0,0.7758620689655172,0.22413793103448276
0.09,1.0,1.0,0.7758620689655172,0.22413793103448276
0.095,1.0,1.0,0.7758620689655172,0.22413793103448276
0.1,1.0,1.0,0.7758620689655172,0.22413793103448276
0.105,1.0,1.0,0.7758620689655172,0.22413793103448276
0.11,1.0,1.0,0.7758620689655172,0.22413793103448276
0.115,1.0,1.0,0.7758620689655172,0.22413793103448276
0.12,1.0,1.0,0.7758620689655172,0.22413793103448276
0.125,1.0,1.0,0.7758620689655172,0.22413793103448276
0.13,1.0,1.0,0.7758620689655172,0.22413793103448276
0.135,1.0,1.0,0.7758620689655172,0.22413793103448276
0.14,1.0,1.0,0.7758620689655172,0.22413793103448276
0.145,1.0,1.0,0.7758620689655172,0.22413793103448276
0.15,1.0,1.0,0.7758620689655172,0.22413793103448276
0.155,1.0,1.0,0.7758620689655172,0.22413793103448276
0.16,1.0,1.0,0.7758620689655172,0.22413793103448276
0.165,1.0,1.0,0.7758620689655172,0.22413793103448276
0.17,1.0,1.0,0.7758620689655172,0.22413793103448276
0.17500000000000002,1.0,1.0,0.7758620689655172,0.22413793103448276
0.18,0.9913793103448276,1.0,0.7758620689655172,0.22413793103448276
0.185,0.9913793103448276,1.0,0.7758620689655172,0.22413793103448276
0.19,0.9827586206896551,1.0,0.7758620689655172,0.22413793103448276
0.195,0.9655172413793104,1.0,0.7758620689655172,0.22413793103448276
0.2,0.9482758620689655,1.0,0.7758620689655172,0.22413793103448276
0.20500000000000002,0.9482758620689655,1.0,0.7758620689655172,0.22413793103448276
0.21,0.9396551724137931,1.0,0.7758620689655172,0.22413793103448276
0.215,0.9396551724137931,1.0,0.7758620689655172,0.22413793103448276
0.22,0.9396551724137931,1.0,0.7758620689655172,0.22413793103448276
0.225,0.896551724137931,1.0,0.7758620689655172,0.22413793103448276
0.23,0.8879310344827587,1.0,0.7758620689655172,0.22413793103448276
0.23500000000000001,0.8793103448275862,1.0,0.7758620689655172,0.22413793103448276
0.24,0.8706896551724138,1.0,0.7758620689655172,0.22413793103448276
0.245,0.8620689655172413,1.0,0.7758620689655172,0.22413793103448276
0.25,0.8620689655172413,1.0,0.7758620689655172,0.22413793103448276
