Class,Precision,Recall,F1,AUC
SCD,0.8857142857142857,0.7948717948717948,0.8378378378378378,0.961038961038961
MCI,0.5925925925925926,0.8205128205128205,0.6881720430107527,0.8364968364968365
AD,0.8888888888888888,0.631578947368421,0.7384615384615385,0.953778677462888
